source_latitude,source_longitude,destination_latitude,destination_longitude,rush_time,Duration_in_hours,Qt_Total_Stops,In-flight meal not included,No check-in baggage included,1 Short layover,1 Long layover,Change airports,Business class,Red-eye flight,2 Long layover,Price
13.1989,77.7068,28.5562,77.1,0,2.8333333333333335,0,0,0,0,0,0,0,0,0,3897
22.5726,88.3639,13.1989,77.7068,0,7.416666666666667,2,0,0,0,0,0,0,0,0,7662
28.5562,77.1,10.1518,76.393,1,19.0,2,0,0,0,0,0,0,0,0,13882
22.5726,88.3639,13.1989,77.7068,1,5.416666666666667,1,0,0,0,0,0,0,0,0,6218
13.1989,77.7068,28.5562,77.1,0,4.75,1,0,0,0,0,0,0,0,0,13302
22.5726,88.3639,13.1989,77.7068,1,2.4166666666666665,0,0,0,0,0,0,0,0,0,3873
13.1989,77.7068,28.5562,77.1,1,15.5,1,1,0,0,0,0,0,0,0,11087
13.1989,77.7068,28.5562,77.1,1,21.083333333333332,1,0,0,0,0,0,0,0,0,22270
13.1989,77.7068,28.5562,77.1,1,25.5,1,1,0,0,0,0,0,0,0,11087
28.5562,77.1,10.1518,76.393,0,7.833333333333333,1,0,0,0,0,0,0,0,0,8625
28.5562,77.1,10.1518,76.393,1,13.25,1,0,0,0,0,0,0,0,0,8907
22.5726,88.3639,13.1989,77.7068,1,2.5833333333333335,0,0,0,0,0,0,0,0,0,4174
12.9941,80.1709,22.5726,88.3639,0,2.25,0,0,0,0,0,0,0,0,0,4667
22.5726,88.3639,13.1989,77.7068,0,12.166666666666666,1,1,0,0,0,0,0,0,0,9663
22.5726,88.3639,13.1989,77.7068,1,2.5833333333333335,0,0,0,0,0,0,0,0,0,4804
28.5562,77.1,10.1518,76.393,0,26.583333333333332,2,0,0,0,0,0,0,0,0,14011
28.5562,77.1,10.1518,76.393,1,4.5,1,0,0,0,0,0,0,0,0,5830
28.5562,77.1,10.1518,76.393,0,22.583333333333332,1,1,0,0,0,0,0,0,0,10262
28.5562,77.1,10.1518,76.393,1,23.0,2,0,0,0,0,0,0,0,0,13381
28.5562,77.1,10.1518,76.393,0,20.583333333333332,1,1,0,0,0,0,0,0,0,12898
28.5562,77.1,10.1518,76.393,0,5.166666666666667,1,0,0,0,0,0,0,0,0,19495
13.1989,77.7068,28.5562,77.1,0,15.333333333333334,1,0,0,0,0,0,0,0,0,6955
13.1989,77.7068,28.5562,77.1,0,2.8333333333333335,0,0,0,0,0,0,0,0,0,3943
13.1989,77.7068,28.5562,77.1,1,2.9166666666666665,0,0,0,0,0,0,0,0,0,4823
22.5726,88.3639,13.1989,77.7068,1,13.333333333333334,1,1,0,0,0,0,0,0,0,7757
28.5562,77.1,10.1518,76.393,0,15.166666666666666,2,0,0,0,0,0,0,0,0,13292
28.5562,77.1,10.1518,76.393,0,5.75,1,0,0,0,0,0,0,0,0,8238
28.5562,77.1,10.1518,76.393,1,5.916666666666667,1,0,0,0,0,0,0,0,0,7682
13.1989,77.7068,28.5562,77.1,1,2.8333333333333335,0,0,0,0,0,0,0,0,0,4668
12.9941,80.1709,22.5726,88.3639,1,2.25,0,0,0,0,0,0,0,0,0,3687
12.9941,80.1709,22.5726,88.3639,1,2.25,0,0,0,0,0,0,0,0,0,3687
22.5726,88.3639,13.1989,77.7068,1,13.416666666666666,2,0,0,0,0,0,0,0,0,13227
13.1989,77.7068,28.5562,77.1,0,2.8333333333333335,0,0,0,0,0,0,0,0,0,4423
28.5562,77.1,10.1518,76.393,0,22.0,2,1,0,0,0,0,0,0,0,10919
28.5562,77.1,10.1518,76.393,1,5.5,1,1,0,0,0,0,0,0,0,12373
28.5562,77.1,10.1518,76.393,0,10.416666666666666,1,0,0,0,0,0,0,0,0,5894
22.5726,88.3639,13.1989,77.7068,0,5.25,1,0,0,0,0,0,0,0,0,4649
22.5726,88.3639,13.1989,77.7068,0,2.5,0,0,0,0,0,0,0,0,0,6245
13.1989,77.7068,28.5562,77.1,1,6.25,1,0,0,0,0,0,0,0,0,19225
28.5562,77.1,10.1518,76.393,1,11.916666666666666,1,0,0,0,0,0,0,0,0,14924
28.5562,77.1,10.1518,76.393,1,11.083333333333334,1,0,0,0,0,0,0,0,0,9646
13.1989,77.7068,28.5562,77.1,1,8.5,1,0,0,0,0,0,0,0,0,8714
28.5562,77.1,10.1518,76.393,1,22.083333333333332,1,1,0,0,0,0,0,0,0,12373
13.1989,77.7068,28.5562,77.1,0,2.75,0,0,0,0,0,0,0,0,0,3383
28.5562,77.1,10.1518,76.393,1,12.0,1,0,0,0,0,0,0,0,0,13062
13.1989,77.7068,28.5562,77.1,0,2.8333333333333335,0,0,1,0,0,0,0,0,0,3527
13.1989,77.7068,28.5562,77.1,0,2.8333333333333335,0,0,0,0,0,0,0,0,0,3943
12.9941,80.1709,22.5726,88.3639,0,2.25,0,0,0,0,0,0,0,0,0,4667
22.5726,88.3639,13.1989,77.7068,1,16.083333333333332,1,0,0,0,0,0,0,0,0,6117
28.5562,77.1,10.1518,76.393,0,19.916666666666668,2,1,0,0,0,0,0,0,0,11150
28.5562,77.1,10.1518,76.393,0,3.25,0,1,0,0,0,0,0,0,0,7202
22.5726,88.3639,13.1989,77.7068,1,25.333333333333332,1,0,0,0,0,0,0,0,0,12121
13.1989,77.7068,28.5562,77.1,0,2.8333333333333335,0,0,0,0,0,0,0,0,0,4377
13.1989,77.7068,28.5562,77.1,0,3.0,0,0,0,0,0,0,0,0,0,3943
13.1989,77.7068,28.5562,77.1,0,2.8333333333333335,0,0,0,0,0,0,0,0,0,4483
22.5726,88.3639,13.1989,77.7068,1,16.25,1,0,0,0,0,0,0,0,0,14231
13.1989,77.7068,28.5562,77.1,1,15.083333333333334,2,0,0,0,0,0,0,0,0,17345
12.9941,80.1709,22.5726,88.3639,1,2.25,0,0,0,0,0,0,0,0,0,7414
28.5562,77.1,10.1518,76.393,1,6.5,1,0,0,0,0,0,0,0,0,8073
19.0904,72.8628,17.2403,78.4294,0,25.083333333333332,1,0,0,0,0,0,0,0,0,12395
22.5726,88.3639,13.1989,77.7068,1,12.416666666666666,1,0,0,0,0,0,0,0,0,8366
28.5562,77.1,10.1518,76.393,1,27.333333333333332,1,0,0,0,0,0,0,0,0,5117
28.5562,77.1,10.1518,76.393,1,10.25,1,0,0,0,0,0,0,0,0,12524
28.5562,77.1,10.1518,76.393,0,10.5,1,0,0,0,0,0,0,0,0,7191
12.9941,80.1709,22.5726,88.3639,1,2.25,0,0,0,0,0,0,0,0,0,3687
28.5562,77.1,10.1518,76.393,0,10.416666666666666,1,0,0,0,0,0,0,0,0,5894
13.1989,77.7068,28.5562,77.1,1,2.8333333333333335,0,0,0,0,0,0,0,0,0,5403
19.0904,72.8628,17.2403,78.4294,0,1.5,0,0,0,0,0,0,0,0,0,3625
28.5562,77.1,10.1518,76.393,0,13.333333333333334,2,0,0,0,0,0,0,0,0,10861
12.9941,80.1709,22.5726,88.3639,0,2.25,0,0,0,0,0,0,0,0,0,6297
19.0904,72.8628,17.2403,78.4294,1,1.4166666666666667,0,0,0,0,0,0,0,0,0,5678
13.1989,77.7068,28.5562,77.1,0,26.5,1,1,0,0,0,0,0,0,0,9134
28.5562,77.1,10.1518,76.393,0,7.333333333333333,1,1,0,0,0,0,0,0,0,10791
28.5562,77.1,10.1518,76.393,0,13.5,2,0,0,0,0,0,0,0,0,12819
28.5562,77.1,10.1518,76.393,0,5.0,1,0,0,0,0,0,0,0,0,6893
13.1989,77.7068,28.5562,77.1,1,2.75,0,0,0,0,0,0,0,0,0,7240
13.1989,77.7068,28.5562,77.1,0,2.8333333333333335,0,0,0,0,0,0,0,0,0,3898
19.0904,72.8628,17.2403,78.4294,1,1.5,0,0,0,0,0,0,0,0,0,4049
28.5562,77.1,10.1518,76.393,1,19.083333333333332,1,1,0,0,0,0,0,0,0,10262
12.9941,80.1709,22.5726,88.3639,1,2.25,0,0,1,0,0,0,0,0,0,3332
22.5726,88.3639,13.1989,77.7068,0,14.833333333333334,1,1,0,0,0,0,0,0,0,10844
13.1989,77.7068,28.5562,77.1,1,2.6666666666666665,0,0,0,0,0,0,0,0,0,7229
22.5726,88.3639,13.1989,77.7068,1,22.166666666666668,1,0,0,0,0,0,0,0,0,13941
28.5562,77.1,10.1518,76.393,0,9.583333333333334,1,0,0,0,0,0,0,0,0,5894
28.5562,77.1,10.1518,76.393,1,10.0,1,0,0,0,0,0,0,0,0,10197
13.1989,77.7068,28.5562,77.1,0,21.333333333333332,1,1,0,0,0,0,0,0,0,13712
28.5562,77.1,10.1518,76.393,0,5.416666666666667,1,0,0,0,0,0,0,0,0,5636
28.5562,77.1,10.1518,76.393,1,18.75,2,0,0,0,0,0,0,0,0,13014
22.5726,88.3639,13.1989,77.7068,1,12.333333333333334,1,1,0,0,0,0,0,0,0,7064
22.5726,88.3639,13.1989,77.7068,1,18.0,1,1,0,0,0,0,0,0,0,10703
28.5562,77.1,10.1518,76.393,0,9.25,1,0,0,0,0,0,0,0,0,9646
28.5562,77.1,10.1518,76.393,0,11.083333333333334,1,0,0,0,0,0,0,0,0,17057
13.1989,77.7068,28.5562,77.1,0,17.5,1,0,0,0,0,0,0,0,0,13817
28.5562,77.1,10.1518,76.393,0,13.333333333333334,2,0,0,0,0,0,0,0,0,13748
22.5726,88.3639,13.1989,77.7068,1,2.5833333333333335,0,0,0,0,0,0,0,0,0,4880
12.9941,80.1709,22.5726,88.3639,0,2.4166666666666665,0,0,0,0,0,0,0,0,0,3540
13.1989,77.7068,28.5562,77.1,0,2.6666666666666665,0,0,1,0,0,0,0,0,0,3257
13.1989,77.7068,28.5562,77.1,1,3.0,0,1,0,0,0,0,0,0,0,6478
19.0904,72.8628,17.2403,78.4294,1,1.4166666666666667,0,0,0,0,0,0,0,0,0,8040
28.5562,77.1,10.1518,76.393,1,16.583333333333332,2,0,0,0,0,0,0,0,0,14300
22.5726,88.3639,13.1989,77.7068,1,12.333333333333334,1,0,0,0,0,0,0,0,0,14781
22.5726,88.3639,13.1989,77.7068,1,12.25,1,0,0,0,0,0,0,0,0,14939
28.5562,77.1,10.1518,76.393,1,7.5,1,1,0,0,0,0,0,0,0,10262
22.5726,88.3639,13.1989,77.7068,0,24.0,1,0,0,0,0,0,0,0,0,6528
13.1989,77.7068,28.5562,77.1,1,2.75,0,0,0,0,0,0,0,0,0,6121
28.5562,77.1,10.1518,76.393,1,8.916666666666666,2,1,0,0,0,0,0,0,0,13029
28.5562,77.1,10.1518,76.393,0,7.166666666666667,1,0,0,0,0,0,0,0,0,11421
28.5562,77.1,10.1518,76.393,0,14.5,1,0,0,0,0,0,0,0,0,7574
